ftLg_SpecialSMisfire_Anim | fuzzy_match  | 100.00% ->  97.21%
ftLg_SpecialAirSMisfire_Anim | fuzzy_match  | 100.00% ->  97.07%
ftLg_SpecialSMisfire_Coll | fuzzy_match  | 100.00% ->  96.00%
ftLg_SpecialAirSMisfire_Coll | fuzzy_match  | 100.00% ->  96.00%
ftLg_SpecialAirS2_Coll | fuzzy_match  | 100.00% ->  98.06%
ftLg_SpecialSEnd_Coll | fuzzy_match  | 100.00% ->  96.00%
ftLg_SpecialAirSEnd_Coll | fuzzy_match  | 100.00% ->  97.00%
ftLg_SpecialHi_Phys | fuzzy_match  | 100.00% ->  95.71%
ftLg_SpecialHi_Coll | fuzzy_match  | 100.00% ->  97.86%
ftLg_SpecialAirHi_Coll | fuzzy_match  | 100.00% ->  97.86%
ftLg_SpecialLw_Coll | fuzzy_match  | 100.00% ->  98.90%
ftMt_SpecialHiStart_Coll | fuzzy_match  | 100.00% ->  96.00%
ftMt_SpecialHiLost_Coll | fuzzy_match  | 100.00% ->  98.50%
ftMt_SpecialN_ReleaseShadowBall | fuzzy_match  | 100.00% ->  99.12%
ftMt_SpecialNStart_Coll | fuzzy_match  | 100.00% ->  98.29%
ftMt_SpecialNLoop_Coll | fuzzy_match  | 100.00% ->  98.29%
ftMt_SpecialNLoopFull_Coll | fuzzy_match  | 100.00% ->  98.29%
ftMt_SpecialNCancel_Coll | fuzzy_match  | 100.00% ->  98.29%
ftMt_SpecialNEnd_Coll | fuzzy_match  | 100.00% ->  98.29%
ftMt_SpecialAirNStart_Coll | fuzzy_match  | 100.00% ->  95.43%
ftMt_SpecialAirNLoop_Coll | fuzzy_match  | 100.00% ->  95.43%
ftMt_SpecialAirNLoopFull_Coll | fuzzy_match  | 100.00% ->  95.43%
ftMt_SpecialAirNCancel_Coll | fuzzy_match  | 100.00% ->  95.43%
ftMt_SpecialAirNEnd_Coll | fuzzy_match  | 100.00% ->  95.43%
ftMt_SpecialN_Shoot | fuzzy_match  | 100.00% ->  98.83%
ftCl_Init_OnLoad | fuzzy_match  | 100.00% ->  98.91%
ftCl_AppealS_Anim | fuzzy_match  | 100.00% ->  98.97%
ftGw_Init_8014A538 | fuzzy_match  | 100.00% ->  96.25%
ftGw_SpecialS_ItemJudgementSetup | fuzzy_match  | 100.00% ->  97.23%
ftGw_SpecialAirS_Coll | fuzzy_match  | 100.00% ->  96.00%
ftGw_SpecialAirLw_Coll | fuzzy_match  | 100.00% ->  96.00%
ftGw_SpecialLwCatch_Coll | fuzzy_match  | 100.00% ->  96.00%
ftGw_SpecialAirLwCatch_Coll | fuzzy_match  | 100.00% ->  96.00%
ftGw_SpecialLw_AbsorbThink_DecideAction | fuzzy_match  | 100.00% ->  97.21%
ftGw_SpecialLwShoot_Anim | fuzzy_match  | 100.00% ->  96.67%
ftGw_SpecialAirLwShoot_Anim | fuzzy_match  | 100.00% ->  96.67%
ftGw_SpecialLwShoot_Coll | fuzzy_match  | 100.00% ->  96.00%
ftGw_SpecialAirLwShoot_Coll | fuzzy_match  | 100.00% ->  96.00%
ftGw_SpecialAirHi_Coll | fuzzy_match  | 100.00% ->  99.15%
ftGw_SpecialN_CreateSausage | fuzzy_match  | 100.00% ->  99.04%
ftGw_SpecialAirN_Coll | fuzzy_match  | 100.00% ->  96.00%
ftSb_Init_8014FBA4 | fuzzy_match  | 100.00% ->  96.13%
ftMh_Wait1_0_Anim | fuzzy_match  | 100.00% ->  99.66%
ftMh_Wait1_0_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_MS_343_801510B0 | fuzzy_match  | 100.00% ->  98.70%
ftMh_Entry_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_MS_343_801511FC | fuzzy_match  | 100.00% ->  95.25%
ftMh_Damage_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_WaitSweep_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_SweepLoop_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_SweepWait_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Slap_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_WalkShoot_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Walk2_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_WalkLoop_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_WalkWait_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Drill_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_RockCrushUp_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_RockCrushWait_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_RockCrushDown_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_PaperCrush_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Poke1_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_FingerBeamStart_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_FingerBeamLoop_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_FingerBeamEnd_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_FingerGun1_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_FingerGun2_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_FingerGun3_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_BackAirplane1_IASA | fuzzy_match  | 100.00% ->  96.47%
