Player_IncSuicideCount | fuzzy_match  | 100.00% ->  99.92%
Player_800353BC | fuzzy_match  | 100.00% ->  99.94%
Player_8003544C | fuzzy_match  | 100.00% ->  99.95%
Player_SetFlagsBit0 | fuzzy_match  | 100.00% ->  99.91%
Player_GetNametagSlotID | fuzzy_match  | 100.00% ->  99.93%
Player_SetNametagSlotID | fuzzy_match  | 100.00% ->  99.94%
Player_GetFlagsBit1 | fuzzy_match  | 100.00% ->  99.93%
Player_SetFlagsBit1 | fuzzy_match  | 100.00% ->  99.90%
Player_UnsetFlagsBit1 | fuzzy_match  | 100.00% ->  99.90%
Player_GetFlagsBit3 | fuzzy_match  | 100.00% ->  99.93%
Player_SetFlagsBit3 | fuzzy_match  | 100.00% ->  99.91%
Player_GetFlagsBit4 | fuzzy_match  | 100.00% ->  99.93%
Player_GetFlagsBit5 | fuzzy_match  | 100.00% ->  99.93%
Player_SetFlagsBit5 | fuzzy_match  | 100.00% ->  99.91%
Player_GetFlagsBit6 | fuzzy_match  | 100.00% ->  99.93%
Player_SetFlagsBit6 | fuzzy_match  | 100.00% ->  99.91%
Player_GetFlagsBit7 | fuzzy_match  | 100.00% ->  99.93%
Player_SetFlagsBit7 | fuzzy_match  | 100.00% ->  99.91%
Player_GetMoreFlagsBit0 | fuzzy_match  | 100.00% ->  99.93%
Player_GetMoreFlagsBit1 | fuzzy_match  | 100.00% ->  99.93%
Player_SetMoreFlagsBit1 | fuzzy_match  | 100.00% ->  99.91%
Player_GetUnk4D | fuzzy_match  | 100.00% ->  99.93%
Player_SetUnk4D | fuzzy_match  | 100.00% ->  99.94%
Player_GetFlagsAEBit1 | fuzzy_match  | 100.00% ->  99.93%
Player_SetFlagsAEBit1 | fuzzy_match  | 100.00% ->  99.91%
Player_GetUnk4C | fuzzy_match  | 100.00% ->  99.93%
Player_SetUnk4C | fuzzy_match  | 100.00% ->  99.94%
Player_80036058 | fuzzy_match  | 100.00% ->  99.91%
Player_800360D8 | fuzzy_match  | 100.00% ->  99.91%
Player_SetStructFunc | fuzzy_match  | 100.00% ->  99.94%
Player_GetTotalAttackCountPtr | fuzzy_match  | 100.00% ->  99.93%
Player_GetStaleMoveTableIndexPtr | fuzzy_match  | 100.00% ->  99.93%
Player_GetUnk6A8Ptr | fuzzy_match  | 100.00% ->  99.93%
Player_GetStaleMoveTableIndexPtr2 | fuzzy_match  | 100.00% ->  99.93%
Player_80036394 | fuzzy_match  | 100.00% ->  97.22%
Player_80036428 | fuzzy_match  | 100.00% ->  99.92%
Player_SetUnk45 | fuzzy_match  | 100.00% ->  99.94%
Player_GetUnk45 | fuzzy_match  | 100.00% ->  96.30%
Player_UpdateJoystickCountByIndex | fuzzy_match  | 100.00% ->  99.89%
Player_GetJoystickCountByIndex | fuzzy_match  | 100.00% ->  99.91%
Player_800366DC | fuzzy_match  | 100.00% ->  99.93%
Player_80036790 | fuzzy_match  | 100.00% ->  99.93%
Player_80036844 | fuzzy_match  | 100.00% ->  99.93%
Player_800368F8 | fuzzy_match  | 100.00% ->  99.91%
Player_80036978 | fuzzy_match  | 100.00% ->  99.92%
Player_InitOrResetPlayer | fuzzy_match  | 100.00% ->  97.88%
Player_80036E20 | fuzzy_match  | 100.00% ->  84.03%
Player_80036EA0 | fuzzy_match  | 100.00% ->  99.92%
Player_80036F34 | fuzzy_match  | 100.00% ->  97.46%
Player_80037054 | fuzzy_match  | 100.00% ->  97.23%
pl_8003E17C | fuzzy_match  | 100.00% ->  90.52%
pl_8004049C | fuzzy_match  | 100.00% ->  98.46%
mpColl_80042DB0 | fuzzy_match  | 100.00% ->  94.44%
efLib_8005F774 | fuzzy_match  |  67.43% ->  67.33%
efLib_8005FAB8 | fuzzy_match  |  23.39% ->  23.37%
Fighter_UnkProcessDeath_80068354 | fuzzy_match  | 100.00% ->  99.74%
Fighter_UnkUpdateCostumeJoint_800686E4 | fuzzy_match  | 100.00% ->  93.94%
Fighter_UnkUpdateVecFromBones_8006876C | fuzzy_match  | 100.00% ->  97.93%
Fighter_UnkInitLoad_80068914 | fuzzy_match  | 100.00% ->  98.22%
Fighter_80068E64 | fuzzy_match  | 100.00% ->  95.38%
Fighter_Create | fuzzy_match  | 100.00% ->  97.07%
Fighter_ChangeMotionState | fuzzy_match  | 100.00% ->  99.33%
Fighter_8006A360 | fuzzy_match  | 100.00% ->  99.89%
Fighter_UnkIncrementCounters_8006ABEC | fuzzy_match  | 100.00% ->  99.18%
Fighter_procUpdate | fuzzy_match  | 100.00% ->  98.24%
Fighter_8006C27C | fuzzy_match  | 100.00% ->  96.62%
Fighter_8006C80C | fuzzy_match  | 100.00% ->  99.19%
Fighter_ProcessHit_8006D1EC | fuzzy_match  | 100.00% ->  99.64%
Fighter_Unload_8006DABC | fuzzy_match  | 100.00% ->  99.23%
ftAnim_8006DF0C | fuzzy_match  | 100.00% ->  96.77%
ftAnim_8006E9B4 | fuzzy_match  | 100.00% ->  90.48%
ftAnim_8006EED4 | fuzzy_match  | 100.00% ->  97.86%
ftAnim_IsFramesRemaining | fuzzy_match  | 100.00% ->  98.42%
ftAnim_8006F368 | fuzzy_match  | 100.00% ->  95.86%
ftAnim_8006F3DC | fuzzy_match  | 100.00% ->  98.57%
ftAnim_8006F4C8 | fuzzy_match  | 100.00% ->  99.32%
ftAnim_8006F628 | fuzzy_match  | 100.00% ->  95.77%
ftAnim_8006F954 | fuzzy_match  | 100.00% ->  92.50%
ftAnim_8006F994 | fuzzy_match  | 100.00% ->  98.78%
ftAnim_8006FA58 | fuzzy_match  | 100.00% ->  99.21%
ftAnim_8006FB88 | fuzzy_match  | 100.00% ->  99.31%
ftAnim_8006FE08 | fuzzy_match  | 100.00% ->  92.50%
ftAnim_8006FE9C | fuzzy_match  | 100.00% ->  98.89%
ftAnim_8006FF74 | fuzzy_match  | 100.00% ->  98.46%
ftAnim_80070308 | fuzzy_match  |  98.81% ->  96.33%
ftAnim_800704F0 | fuzzy_match  | 100.00% ->  98.98%
ftAnim_80070654 | fuzzy_match  | 100.00% ->  98.70%
ftAnim_80070904 | fuzzy_match  | 100.00% ->  99.10%
ftAnim_80070FD0 | fuzzy_match  | 100.00% ->  97.27%
ftAction_80071028 | fuzzy_match  |  99.96% ->  98.50%
ftAction_80071A58 | fuzzy_match  | 100.00% ->  99.12%
ftAction_80071A9C | fuzzy_match  | 100.00% ->  82.63%
ftAction_80072B94 | fuzzy_match  | 100.00% ->  93.75%
ftParts_80073CA8 | fuzzy_match  | 100.00% ->  99.74%
ftParts_SetupParts | fuzzy_match  | 100.00% ->  98.78%
ftParts_8007462C | fuzzy_match  | 100.00% ->  99.06%
ftParts_80074E58 | fuzzy_match  | 100.00% ->  95.60%
ftParts_GetBoneIndex | fuzzy_match  | 100.00% ->  72.86%
ftParts_8007506C | fuzzy_match  | 100.00% ->  97.39%
ftParts_800750C8 | fuzzy_match  | 100.00% ->  98.09%
ftColl_80076528 | fuzzy_match  | 100.00% ->  96.36%
ftColl_80076764 | fuzzy_match  | 100.00% ->  98.54%
ftColl_80076808 | fuzzy_match  | 100.00% ->  96.84%
ftColl_800768A0 | fuzzy_match  | 100.00% ->  92.38%
ftColl_8007699C | fuzzy_match  | 100.00% ->  97.60%
ftColl_80076CBC | fuzzy_match  | 100.00% ->  98.22%
ftColl_80076ED8 | fuzzy_match  |  94.35% ->  90.97%
ftColl_80078384 | fuzzy_match  | 100.00% ->  98.15%
ftColl_80078710 | fuzzy_match  | 100.00% ->  96.47%
ftColl_80078A2C | fuzzy_match  | 100.00% ->  97.52%
ftColl_80078C70 | fuzzy_match  |  97.63% ->  95.38%
